"player_id";"last_known_name";"last_known_tag";"affiliation";"server";"enemy";"date_last_known";"discord";"city";"discord_server";"last_city";"last_seen_by";"enemy_updated";"updated_by";"history";"additional";"player_image"
"7875355";"Multigrain";"PHAK [ex-PHWR/WD02]";"ArmiaKraowa / FAMILY: PH FAMILY";"17";"NAP";"29/5/2022 @ ";"Multigrain#1180";;"PHWR (War Machine)";;;;"09/05/2022 00:00:00";"PHWR [ex-WD02] - WarMachine / FAMILY PH / COALITION PH";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7876367";"Finall";"phak [R4]";"PHAK / PH FAMILY - - FILLER ALLIANCE FOR PHAK ALLIANCE - - / PHAK-EA /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"30/04/2022 00:00:00";;"NO PRIOR DATA BEFORE THIS UPDATE";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7884253";"[SP]~TITAN~";"PHAK [ex-WDEA/OPEA]";"ArmiaKraowa / FAMILY: PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";"Tallinn Defense Minister";;;;;"02/05/2022 00:00:00";"[MUSC]-TITAN- - PHAK / R2 - PHAK - PH Family / PH Family Coalition - Allies";"CHANGE HIS NAME TO ""[MUSC]-TITAN-""";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7885218";"KKT";"Phak";"PHAK / PH FAMILY - - FILLER ALLIANCE FOR PHAK ALLIANCE - - / PHAK-EA /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";;"NO PRIOR DATA BEFORE THIS UPDATE";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7885595";"Jokowi_Laknat";"PHAK [ex-VF-O/OPEA/OPWw]";"ArmiaKrajowa / PH FAMILY /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"10/05/2022 00:00:00";"VF-O [ex-OPEA/OPWw] - OnePiece / FAMILY: PW17, TVF, ASGARD, VF17, P2Wr, VN-S / ALLIES: ALL P2/PA/SV";"*** ATTENTION *** NOTIFIED MUSC-minimie [ID 7674973], GAVE ITS CONFORMITY AND RESPONDS FOR THEM.-";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7887120";"xzxn";"PHAK [ex-WD02/WD40]";"ArmiaKrajowa / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"04/05/2022 00:00:00";"WD02 [ex-WD40] - WarMachine / ALLIES AND FAMILY: WD FAMILY";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7887202";"MaroPolska17";"PHaK";"PHAK / PH FAMILY - - FILLER ALLIANCE FOR PHAK ALLIANCE - - / PHAK-EA /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"30/04/2022 00:00:00";;"NO PRIOR DATA BEFORE THIS UPDATE";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7890392";"Lunar_pacifist";"PHAK [ex-SVLZ]";"ArmiaKraowa / FAMILY: PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";"Riga Building Minister";;;;;"02/05/2022 00:00:00";"Lunar_dreamer*AK - PHAK / R2 - PHAK - PH Family / PH Family Coalition - Allies";"CHANGE HIS NAME TO ""Lunar_dreamer*AK""";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7897055";"yasiek41";"Phak [ex-SvAK]";"ArmiaKrajowa /AK_ACADEMY / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";"SvAK - ArmiaKrajowa / NO DATA ON ALLIES OR FAMILY / OMC IS YOUR POSSIBLE BUILDING ALLIANCE OR SECOND ALLIANCE.";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7905660";"[Y]an57:)";"PHAK [ex-PW17]";"ArmiaKrajowa / PH FAMILY / [ PW17 ALLIANCE LINKED WITH VF/VN ]";"17";"NAP";"22/05/22";"Not on Discord";;;;;"minimie ✌";"09/05/2022 00:00:00";"PW17 - Pay2Winners / CONSIDER AS POTENTIAL SPIES /";"*** ATTENTION *** NOTIFIED MUSC-minimie [ID 7674973], GAVE ITS CONFORMITY AND RESPONDS FOR THEM.-";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
